name,email,phone,address
Manifest Corp,billing@manifest.com,+1234567890,123 Business Lane
Northwind Ltd,op@northwind.com,+2348012345678,42 Marina Road Lagos
Prime Logistics,contact@primelogistics.ng,+2348098765432,15 Apapa Wharf Road Lagos
BlueOcean Traders,info@blueocean.com,+447911123456,22 Docklands London
GreenField Supplies,sales@greenfield.ng,+2348034567890,8 Industrial Estate Ibadan
TechWave Solutions,hello@techwave.io,+14155552671,500 Market Street San Francisco
Urban Retail Group,support@urbanretail.ng,+2348123456789,120 Allen Avenue Ikeja
Silverline Manufacturing,admin@silverline.com,+918888777666,Plot 5 MIDC Mumbai
Delta Distributors,orders@deltadist.ng,+2348061122334,9 Aba Road Port Harcourt
Summit Enterprises,info@summitent.com,+27123456789,78 Business Park Johannesburg
